gid,tipo_pavim,local,cod_local,area,distance,angle,geometry,x,y
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1760.0,52.78241710572743,POINT Z (687253.175132056 7190303.938954263 0),687253.175132056,7190303.938954263
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1780.0,49.10053260009072,POINT Z (687268.7361180296 7190316.486732167 0),687268.7361180296,7190316.486732167
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2200.0,174.851296374629,POINT Z (687158.0157207085 7189976.243034665 0),687158.0157207085,7189976.243034665
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,200.0,224.85074998272373,POINT Z (687657.3020914578 7190720.446552836 0),687657.3020914578,7190720.446552836
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,220.0,246.58477539433443,POINT Z (687640.5353240762 7190709.971232936 0),687640.5353240762,7190709.971232936
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,240.0,215.19292237480238,POINT Z (687624.219394512 7190699.201289776 0),687624.219394512,7190699.201289776
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,260.0,140.7446775946663,POINT Z (687631.2856899898 7190682.226291027 0),687631.2856899898,7190682.226291027
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,280.0,140.90626257158902,POINT Z (687643.9637957197 7190666.758106967 0),687643.9637957197,7190666.758106967
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,300.0,127.15525589421945,POINT Z (687658.270531292 7190652.908537414 0),687658.270531292,7190652.908537414
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,320.0,124.14492888054043,POINT Z (687674.5351078759 7190641.281475993 0),687674.5351078759,7190641.281475993
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,340.0,147.58076387403335,POINT Z (687689.2054184214 7190627.948956404 0),687689.2054184214,7190627.948956404
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,360.0,155.0966435860796,POINT Z (687698.2953804646 7190610.149227793 0),687698.2953804646,7190610.149227793
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,380.0,152.13427730056415,POINT Z (687707.3492816876 7190592.322763332 0),687707.3492816876,7190592.322763332
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,400.0,134.71562425234023,POINT Z (687719.8388436077 7190576.761027637 0),687719.8388436077,7190576.761027637
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,420.0,131.15847886306076,POINT Z (687734.1598004225 7190562.8044668045 0),687734.1598004225,7190562.8044668045
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,440.0,135.64647104049124,POINT Z (687748.9734926181 7190549.382053818 0),687748.9734926181,7190549.382053818
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,460.0,165.85534377806513,POINT Z (687758.4783453313 7190532.203872385 0),687758.4783453313,7190532.203872385
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,480.0,209.51346192962245,POINT Z (687758.7731721003 7190512.7752961805 0),687758.7731721003,7190512.7752961805
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,500.0,261.84076153356074,POINT Z (687740.5443704262 7190506.452689955 0),687740.5443704262,7190506.452689955
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,520.0,262.9019386669692,POINT Z (687720.7079328957 7190503.904543431 0),687720.7079328957,7190503.904543431
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,540.0,261.1968257352553,POINT Z (687700.9339422543 7190500.912415784 0),687700.9339422543,7190500.912415784
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,560.0,260.70714404872257,POINT Z (687681.2165447067 7190497.567808459 0),687681.2165447067,7190497.567808459
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,580.0,79.83300133922955,POINT Z (687694.2387675984 7190501.093765807 0),687694.2387675984,7190501.093765807
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1380.0,138.8960501187107,POINT Z (687255.1746855555 7190597.388471304 0),687255.1746855555,7190597.388471304
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1400.0,138.15221947676943,POINT Z (687268.409571077 7190582.394433686 0),687268.409571077,7190582.394433686
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1420.0,139.43882314532527,POINT Z (687281.5215869567 7190567.29372397 0),687281.5215869567,7190567.29372397
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1440.0,138.73108357702287,POINT Z (687294.9367375344 7190552.464093919 0),687294.9367375344,7190552.464093919
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1460.0,138.71231888821953,POINT Z (687308.2662412804 7190537.553882349 0),687308.2662412804,7190537.553882349
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1520.0,82.80167021112366,POINT Z (687348.7390582133 7190494.284991412 0),687348.7390582133,7190494.284991412
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1540.0,87.51537389863945,POINT Z (687367.2897112012 7190500.840646869 0),687367.2897112012,7190500.840646869
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1560.0,95.29812714256212,POINT Z (687387.1685489061 7190499.092237069 0),687387.1685489061,7190499.092237069
