gid,local,cod_local,E,N,geometry,x,y
694,Fazenda Canguiri,PFCG,687349.198,7190426.021,POINT Z (687349.1982142437 7190426.021150719 943.7101447664652),687349.1982142437,7190426.021150719
695,Fazenda Canguiri,PFCG,687191.719,7190373.887,POINT Z (687191.7192712198 7190373.88734543 932.6602871383027),687191.7192712198,7190373.88734543
696,Fazenda Canguiri,PFCG,687195.451,7190372.004,POINT Z (687195.451026525 7190372.003890632 932.6602871383027),687195.451026525,7190372.003890632
697,Fazenda Canguiri,PFCG,687199.447,7190373.948,POINT Z (687199.4465723376 7190373.9479443645 932.6602871383027),687199.4465723376,7190373.9479443645
698,Fazenda Canguiri,PFCG,687195.976,7190353.445,POINT Z (687195.9763622916 7190353.4448444955 931.0145636617679),687195.9763622916,7190353.4448444955
699,Fazenda Canguiri,PFCG,687273.146,7190409.314,POINT Z (687273.1460883447 7190409.314127291 935.6854159696934),687273.1460883447,7190409.314127291
700,Fazenda Canguiri,PFCG,687274.656,7190416.108,POINT Z (687274.6560436494 7190416.107630171 937.3311394462282),687274.6560436494,7190416.107630171
701,Fazenda Canguiri,PFCG,687305.452,7190489.202,POINT Z (687305.4518320295 7190489.201860987 942.9736199372048),687305.4518320295,7190489.201860987
702,Fazenda Canguiri,PFCG,687273.591,7190460.915,POINT Z (687273.5909942942 7190460.915496101 942.8560682603095),687273.5909942942,7190460.915496101
703,Fazenda Canguiri,PFCG,687267.526,7190454.983,POINT Z (687267.5255744632 7190454.983075921 941.680551491356),687267.5255744632,7190454.983075921
704,Fazenda Canguiri,PFCG,687230.216,7190422.272,POINT Z (687230.2155949038 7190422.272313417 939.6821729841351),687230.2155949038,7190422.272313417
705,Fazenda Canguiri,PFCG,687165.212,7190441.65,POINT Z (687165.211964439 7190441.650159344 940.373348599763),687165.211964439,7190441.650159344
706,Fazenda Canguiri,PFCG,687150.263,7190428.602,POINT Z (687150.2631077336 7190428.60157632 937.5521083542747),687150.2631077336,7190428.60157632
707,Fazenda Canguiri,PFCG,687217.992,7190487.107,POINT Z (687217.9916671136 7190487.107360584 947.5581353361233),687217.9916671136,7190487.107360584
708,Fazenda Canguiri,PFCG,687245.095,7190596.591,POINT Z (687245.094871826 7190596.590914711 945.8580772814594),687245.094871826,7190596.590914711
709,Fazenda Canguiri,PFCG,687247.322,7190597.752,POINT Z (687247.3216213236 7190597.752398897 945.8580772814594),687247.3216213236,7190597.752398897
710,Fazenda Canguiri,PFCG,687243.624,7190601.502,POINT Z (687243.624477171 7190601.502135422 945.8580772814594),687243.624477171,7190601.502135422
711,Fazenda Canguiri,PFCG,687240.931,7190600.738,POINT Z (687240.9310317212 7190600.738456674 945.8580772814594),687240.9310317212,7190600.738456674
712,Fazenda Canguiri,PFCG,687227.93,7190617.775,POINT Z (687227.9303339513 7190617.774854301 946.3282839890408),687227.9303339513,7190617.774854301
713,Fazenda Canguiri,PFCG,687095.969,7190703.828,POINT Z (687095.9686259484 7190703.827580042 955.1762298935349),687095.9686259484,7190703.827580042
714,Fazenda Canguiri,PFCG,687065.72,7190685.158,POINT Z (687065.7202524148 7190685.158345636 954.5884715090582),687065.7202524148,7190685.158345636
715,Fazenda Canguiri,PFCG,687067.048,7190683.465,POINT Z (687067.0476944115 7190683.465276861 954.5884715090582),687067.0476944115,7190683.465276861
716,Fazenda Canguiri,PFCG,687147.109,7190710.024,POINT Z (687147.1092958145 7190710.024225366 957.0570567238605),687147.1092958145,7190710.024225366
717,Fazenda Canguiri,PFCG,687055.683,7190666.739,POINT Z (687055.6833910807 7190666.738697453 956.0040392631552),687055.6833910807,7190666.738697453
718,Fazenda Canguiri,PFCG,687051.454,7190667.663,POINT Z (687051.4540906213 7190667.663478851 956.2391426169459),687051.4540906213,7190667.663478851
719,Fazenda Canguiri,PFCG,687048.899,7190664.395,POINT Z (687048.8989148859 7190664.395052487 955.2987292017831),687048.8989148859,7190664.395052487
720,Fazenda Canguiri,PFCG,687060.54,7190708.267,POINT Z (687060.5403228557 7190708.266754762 956.4742459707365),687060.5403228557,7190708.266754762
721,Fazenda Canguiri,PFCG,687066.734,7190715.03,POINT Z (687066.7338675192 7190715.030055426 956.7093493245272),687066.7338675192,7190715.030055426
722,Fazenda Canguiri,PFCG,687065.292,7190714.017,POINT Z (687065.2917112837 7190714.016907104 956.7093493245272),687065.2917112837,7190714.016907104
723,Fazenda Canguiri,PFCG,687093.189,7190738.864,POINT Z (687093.1894415017 7190738.863712051 954.7109708173064),687093.1894415017,7190738.863712051
