id,local,cod_local,tipo_trech,E,N,geometry,x,y
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687130.924,7190352.106,POINT Z (687130.923904301 7190352.105611881 0),687130.923904301,7190352.105611881
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687131.697,7190332.447,POINT Z (687131.6971789043 7190332.4474185165 0),687131.6971789043,7190332.4474185165
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687130.237,7190312.785,POINT Z (687130.2372880672 7190312.785059717 0),687130.2372880672,7190312.785059717
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687124.235,7190293.707,POINT Z (687124.2351494624 7190293.707060906 0),687124.2351494624,7190293.707060906
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687118.476,7190274.624,POINT Z (687118.4762191463 7190274.623580671 0),687118.4762191463,7190274.623580671
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687115.02,7190254.925,POINT Z (687115.0197713801 7190254.92469722 0),687115.0197713801,7190254.92469722
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687111.809,7190235.199,POINT Z (687111.8087974928 7190235.198616449 0),687111.8087974928,7190235.198616449
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687112.16,7190215.213,POINT Z (687112.1601553798 7190215.212717942 0),687112.1601553798,7190215.212717942
39,Fazenda Canguiri,PFCG,Curso dagua temporário,687774.383,7190320.693,POINT Z (687774.3834971325 7190320.693262265 0),687774.3834971325,7190320.693262265
39,Fazenda Canguiri,PFCG,Curso dagua temporário,687775.784,7190301.02,POINT Z (687775.783865534 7190301.020444169 0),687775.783865534,7190301.020444169
39,Fazenda Canguiri,PFCG,Curso dagua temporário,687779.265,7190281.583,POINT Z (687779.2647530416 7190281.582880922 0),687779.2647530416,7190281.582880922
39,Fazenda Canguiri,PFCG,Curso dagua temporário,687783.095,7190262.167,POINT Z (687783.0953833912 7190262.166712216 0),687783.0953833912,7190262.166712216
39,Fazenda Canguiri,PFCG,Curso dagua temporário,687784.061,7190242.301,POINT Z (687784.0613808664 7190242.300561105 0),687784.0613808664,7190242.300561105
39,Fazenda Canguiri,PFCG,Curso dagua temporário,687786.113,7190222.869,POINT Z (687786.1128393223 7190222.868932492 0),687786.1128393223,7190222.868932492
39,Fazenda Canguiri,PFCG,Curso dagua temporário,687797.3,7190206.479,POINT Z (687797.3004874995 7190206.479394066 0),687797.3004874995,7190206.479394066
39,Fazenda Canguiri,PFCG,Curso dagua temporário,687807.731,7190189.734,POINT Z (687807.7307772308 7190189.734064525 0),687807.7307772308,7190189.734064525
39,Fazenda Canguiri,PFCG,Curso dagua temporário,687817.068,7190172.234,POINT Z (687817.0681598287 7190172.234091151 0),687817.0681598287,7190172.234091151
39,Fazenda Canguiri,PFCG,Curso dagua temporário,687829.582,7190156.674,POINT Z (687829.5824110869 7190156.673528898 0),687829.5824110869,7190156.673528898
39,Fazenda Canguiri,PFCG,Curso dagua temporário,687842.73,7190141.616,POINT Z (687842.7295338275 7190141.616397845 0),687842.7295338275,7190141.616397845
41,Fazenda Canguiri,PFCG,Curso dagua temporário,687684.597,7189905.136,POINT Z (687684.5966505449 7189905.136 0),687684.5966505449,7189905.136
41,Fazenda Canguiri,PFCG,Curso dagua temporário,687679.367,7189924.354,POINT Z (687679.3671088346 7189924.354487422 0),687679.3671088346,7189924.354487422
41,Fazenda Canguiri,PFCG,Curso dagua temporário,687676.999,7189944.067,POINT Z (687676.9986783983 7189944.067460206 0),687676.9986783983,7189944.067460206
41,Fazenda Canguiri,PFCG,Curso dagua temporário,687678.961,7189963.815,POINT Z (687678.960523172 7189963.814835802 0),687678.960523172,7189963.814835802
43,Fazenda Canguiri,PFCG,Curso dagua temporário,687319.619,7190495.742,POINT Z (687319.6189932073 7190495.742484693 0),687319.6189932073,7190495.742484693
43,Fazenda Canguiri,PFCG,Curso dagua temporário,687310.861,7190477.83,POINT Z (687310.860975693 7190477.830350815 0),687310.860975693,7190477.830350815
43,Fazenda Canguiri,PFCG,Curso dagua temporário,687302.648,7190459.71,POINT Z (687302.6481053733 7190459.709927413 0),687302.6481053733,7190459.709927413
43,Fazenda Canguiri,PFCG,Curso dagua temporário,687292.122,7190443.146,POINT Z (687292.1216863866 7190443.145544292 0),687292.1216863866,7190443.145544292
43,Fazenda Canguiri,PFCG,Curso dagua temporário,687281.575,7190426.242,POINT Z (687281.5752947418 7190426.241791265 0),687281.5752947418,7190426.241791265
43,Fazenda Canguiri,PFCG,Curso dagua temporário,687272.428,7190408.568,POINT Z (687272.4279670602 7190408.567791396 0),687272.4279670602,7190408.567791396
43,Fazenda Canguiri,PFCG,Curso dagua temporário,687262.338,7190391.392,POINT Z (687262.3383108011 7190391.3919404475 0),687262.3383108011,7190391.3919404475
43,Fazenda Canguiri,PFCG,Curso dagua temporário,687255.346,7190372.83,POINT Z (687255.3455755853 7190372.829674373 0),687255.3455755853,7190372.829674373
43,Fazenda Canguiri,PFCG,Curso dagua temporário,687250.721,7190353.836,POINT Z (687250.7205261083 7190353.836052212 0),687250.7205261083,7190353.836052212
43,Fazenda Canguiri,PFCG,Curso dagua temporário,687246.578,7190334.34,POINT Z (687246.5784963256 7190334.339618978 0),687246.5784963256,7190334.339618978
