gid,LAYER,local,cod_local,tipo_poste,tipo_lampa,potencia,qnt_lampad,vida_util,data_troca,data_insta,nome_poste,E,N,geometry,x,y
174,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687314.586,687314.586,POINT Z (687314.5861306052 7190533.549023809 0),687314.5861306052,7190533.549023809
175,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687281.318,687281.318,POINT Z (687281.3184398793 7190571.310359971 0),687281.3184398793,7190571.310359971
176,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687248.309,687248.309,POINT Z (687248.3087828527 7190608.234324897 0),687248.3087828527,7190608.234324897
177,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687215.766,687215.766,POINT Z (687215.7659237023 7190645.600757513 0),687215.7659237023,7190645.600757513
178,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687182.688,687182.688,POINT Z (687182.6884381116 7190682.95184151 0),687182.6884381116,7190682.95184151
179,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687149.613,687149.613,POINT Z (687149.6130693674 7190720.21335573 0),687149.6130693674,7190720.21335573
180,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687116.164,687116.164,POINT Z (687116.164203479 7190757.539976223 0),687116.164203479,7190757.539976223
181,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687105.632,687105.632,POINT Z (687105.6319992957 7190770.180764721 0),687105.6319992957,7190770.180764721
282,Poste de Luz,Fazenda Canguiri,PFCG,,,,,,,,,687839.658,687839.658,POINT Z (687839.6576172392 7190822.781792075 0),687839.6576172392,7190822.781792075
283,Poste de Luz,Fazenda Canguiri,PFCG,,,,,,,,,687826.86,687826.86,POINT Z (687826.8599517402 7190783.38679024 0),687826.8599517402,7190783.38679024
284,Poste de Luz,Fazenda Canguiri,PFCG,,,,,,,,,687782.871,687782.871,POINT Z (687782.8707815699 7190767.05355589 0),687782.8707815699,7190767.05355589
285,Poste de Luz,Fazenda Canguiri,PFCG,,,,,,,,,687741.341,687741.341,POINT Z (687741.3407623027 7190751.471413198 0),687741.3407623027,7190751.471413198
302,Poste de Luz,Fazenda Canguiri,PFCG,,,,,,,,,686927.698,686927.698,POINT Z (686927.6976818586 7190601.971044665 0),686927.6976818586,7190601.971044665
303,Poste de Luz,Fazenda Canguiri,PFCG,,,,,,,,,686953.403,686953.403,POINT Z (686953.4033626968 7190624.640249941 0),686953.4033626968,7190624.640249941
304,Poste de Luz,Fazenda Canguiri,PFCG,,,,,,,,,686976.356,686976.356,POINT Z (686976.3560423942 7190644.745007185 0),686976.3560423942,7190644.745007185
305,Poste de Luz,Fazenda Canguiri,PFCG,,,,,,,,,687030.907,687030.907,POINT Z (687030.9066691075 7190681.669013684 0),687030.9066691075,7190681.669013684
306,Poste de Luz,Fazenda Canguiri,PFCG,,,,,,,,,687004.83,687004.83,POINT Z (687004.8302090188 7190657.3105534585 0),687004.8302090188,7190657.3105534585
307,Poste de Luz,Fazenda Canguiri,PFCG,,,,,,,,,687512.962,687512.962,POINT Z (687512.9621663786 7190309.578670397 0),687512.9621663786,7190309.578670397
308,Poste de Luz,Fazenda Canguiri,PFCG,,,,,,,,,687599.359,687599.359,POINT Z (687599.359122492 7190401.25304428 0),687599.359122492,7190401.25304428
309,Poste de Luz,Fazenda Canguiri,PFCG,,,,,,,,,687061.419,687061.419,POINT Z (687061.4186307736 7190707.352046324 0),687061.4186307736,7190707.352046324
310,Poste de Luz,Fazenda Canguiri,PFCG,,,,,,,,,687089.725,687089.725,POINT Z (687089.7252418657 7190733.104321752 0),687089.7252418657,7190733.104321752
